msg_count,send_time,recv_time,latency_us,payload_bytes
74,1755012070593721,1755012070828897,235176,256
71,1755012070592770,1755012070829703,236933,256
89,1755012070600662,1755012070829919,229257,256
85,1755012070598346,1755012070829885,231539,256
87,1755012070599443,1755012070830416,230973,256
76,1755012070594468,1755012070830564,236096,256
0,1755012070546296,1755012070830417,284121,256
74,1755012070593721,1755012070830903,237182,256
74,1755012070593721,1755012070831003,237282,256
88,1755012070600088,1755012070831320,231232,256
75,1755012070594121,1755012070831317,237196,256
72,1755012070593054,1755012070831700,238646,256
86,1755012070599001,1755012070831772,232771,256
90,1755012070601208,1755012070831816,230608,256
88,1755012070600088,1755012070831844,231756,256
77,1755012070594966,1755012070832235,237269,256
62,1755012070588866,1755012070832254,243388,256
75,1755012070594121,1755012070832698,238577,256
75,1755012070594121,1755012070832375,238254,256
76,1755012070594468,1755012070833458,238990,256
89,1755012070600662,1755012070833463,232801,256
73,1755012070593380,1755012070833588,240208,256
87,1755012070599443,1755012070833844,234401,256
91,1755012070601669,1755012070833933,232264,256
89,1755012070600662,1755012070833975,233313,256
2,1755012070544770,1755012070834312,289542,256
78,1755012070595329,1755012070834217,238888,256
76,1755012070594468,1755012070834479,240011,256
76,1755012070594468,1755012070834590,240122,256
77,1755012070594966,1755012070834844,239878,256
90,1755012070601208,1755012070834879,233671,256
74,1755012070593721,1755012070834765,241044,256
92,1755012070602197,1755012070835288,233091,256
88,1755012070600088,1755012070835325,235237,256
90,1755012070601208,1755012070835561,234353,256
3,1755012070551203,1755012070835818,284615,256
79,1755012070595746,1755012070836275,240529,256
77,1755012070594966,1755012070836404,241438,256
77,1755012070594966,1755012070836376,241410,256
78,1755012070595329,1755012070836562,241233,256
75,1755012070594121,1755012070836724,242603,256
93,1755012070602817,1755012070837040,234223,256
63,1755012070589139,1755012070837119,247980,256
89,1755012070600662,1755012070837202,236540,256
91,1755012070601669,1755012070837206,235537,256
80,1755012070596181,1755012070837685,241504,256
91,1755012070601669,1755012070838094,236425,256
78,1755012070595329,1755012070838107,242778,256
76,1755012070594468,1755012070838538,244070,256
78,1755012070595329,1755012070838459,243130,256
79,1755012070595746,1755012070838589,242843,256
94,1755012070603354,1755012070839256,235902,256
90,1755012070601208,1755012070839306,238098,256
64,1755012070589413,1755012070839295,249882,256
79,1755012070595746,1755012070839993,244247,256
92,1755012070602197,1755012070840055,237858,256
77,1755012070594966,1755012070840396,245430,256
81,1755012070596572,1755012070840484,243912,256
79,1755012070595746,1755012070840597,244851,256
80,1755012070596181,1755012070840946,244765,256
95,1755012070603846,1755012070841006,237160,256
92,1755012070602197,1755012070841037,238840,256
91,1755012070601669,1755012070841114,239445,256
1,1755012070546708,1755012070841476,294768,256
80,1755012070596181,1755012070841914,245733,256
78,1755012070595329,1755012070841875,246546,256
93,1755012070602817,1755012070842066,239249,256
82,1755012070596961,1755012070842326,245365,256
